lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
theirs_plur,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,36,40,16,20000,0.5053583753706657,0.0,0.0,4.999750012499375e-05,0.8185908706706458,0.8802106726471319,0.9302638817030439,0.7512284962061749,0.0001,7.070891024120918e-05,0.00014999250037498125,0.8212060826946528,0.8907449000692174,0.9444197466530757,-0.2458701208355092,0.0,0.0,4.999750012499375e-05,-0.0774515217434201,-0.00984770567632487,0.05858925564326612
them_sing,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,29,40,16,20000,0.5097879269274885,0.0,0.0,4.999750012499375e-05,0.8304341177408242,0.8936028609458455,0.9432955533829249,0.800691344903457,0.004,0.000446329430463671,0.004049797510124494,0.8306635845141257,0.901616287190276,0.9563913894331357,-0.2909034179759684,0.0,0.0,4.999750012499375e-05,-0.07517005276609251,-0.008316746540529385,0.06281255123812117
them_plur,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,30,40,16,20000,0.5323823432851988,0.0,0.0,4.999750012499375e-05,0.8276619225435651,0.8908393516570327,0.941580685866155,0.8345124490398997,0.03425,0.0012860519318746713,0.034298285085745714,0.8289881616572846,0.8998606268778878,0.9538540205325351,-0.3021301057547009,0.0,0.0,4.999750012499375e-05,-0.07652746988881677,-0.008755527928093643,0.06187138246253438
themself,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,29,40,16,20000,0.5512927280874897,0.0,0.0,4.999750012499375e-05,0.8296561419451358,0.893369274761584,0.9440913409434654,0.7657781804126589,0.00045,0.00014996999549902475,0.0004999750012499375,0.8297277056071463,0.9014578989393829,0.9554629676100101,-0.21448545232516913,0.0,0.0,4.999750012499375e-05,-0.07616531622632892,-0.007897492420842644,0.06198968923715898
themselves,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,30,40,16,20000,0.5514914373328224,0.0,0.0,4.999750012499375e-05,0.8280239977207702,0.891483061520777,0.9418369617956547,0.7897178855931829,0.0016,0.00028262341339614796,0.0016499175041247937,0.8297469616963128,0.9008487073962741,0.9542937564436934,-0.23822644826036055,0.0,0.0,4.999750012499375e-05,-0.07742911750670407,-0.009215009245251315,0.06163005356471454
they_sing,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,24,40,16,20000,0.5569531222211748,0.0,0.0,4.999750012499375e-05,0.8414941054854764,0.9047975758788662,0.9536975900584487,0.8083710121210341,0.00295,0.0003834999721139893,0.002999850007499625,0.8404922342887822,0.9116687702613018,0.9646768383997901,-0.25141788989985936,0.0,0.0,4.999750012499375e-05,-0.07538060272994773,-0.006825155254923998,0.06448694095204349
they_plur,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,24,40,16,20000,0.5728518715553828,0.0,0.0,4.999750012499375e-05,0.8407549515994345,0.9046852505853383,0.9541438541168727,0.8418691732473198,0.02825,0.0011716080864672342,0.028298585070746462,0.8400513804220028,0.9118024183139177,0.9653953996716692,-0.26901730169193705,0.0,0.0,4.999750012499375e-05,-0.07466332715969624,-0.0066235948488685414,0.0628662191601313
we_pron,pronoun_anchor,True,P:we,full,item,none,jaccard,fixed_total,154,27,40,16,20000,0.5466761450495666,0.0,0.0,4.999750012499375e-05,0.8333082090712434,0.8975432332685778,0.9473312353576425,0.8263087195311104,0.01495,0.0008581151980268466,0.014999250037498125,0.8344466044773081,0.9055833511124933,0.959570312717738,-0.27963257448154377,0.0,0.0,4.999750012499375e-05,-0.07603948493733553,-0.007546934195096888,0.0628769406254422
us_pron,pronoun_anchor,True,P:we,full,item,none,jaccard,fixed_total,154,30,40,16,20000,0.5138091125235924,0.0,0.0,4.999750012499375e-05,0.8284903693791266,0.8911861811537161,0.9419822771444378,0.8090524400671463,0.00745,0.000608065261438366,0.007499625018749062,0.8286885830598857,0.8999965737941449,0.9541324899567077,-0.29524332754355387,0.0,0.0,4.999750012499375e-05,-0.07704663354856116,-0.008372707014947744,0.06069685869697668
our,pronoun_anchor,True,P:we,full,item,none,jaccard,fixed_total,154,38,40,16,20000,0.5821787750057493,0.0,0.0,4.999750012499375e-05,0.8139868733206668,0.876647725236883,0.927095014246261,0.8382649350157385,0.06815,0.001781975770565454,0.06819659017049147,0.8213904985945859,0.8875437024983731,0.9416066227889975,-0.2560861600099892,0.0,0.0,4.999750012499375e-05,-0.07809087443968984,-0.01048866023925682,0.056759947669226755
ours,pronoun_anchor,True,P:we,full,item,none,jaccard,fixed_total,154,38,40,16,20000,0.47556024595863383,0.0,0.0,4.999750012499375e-05,0.8162095499232594,0.8767016111261148,0.9267155930331133,0.7363382052546872,0.0001,7.070891024120918e-05,0.00014999250037498125,0.8203785923509187,0.8870813882382587,0.9412601587174133,-0.26077795929605335,0.0,0.0,4.999750012499375e-05,-0.07701328610667334,-0.010341364201300884,0.05777411005899754
ourselves,pronoun_anchor,True,P:we,full,item,none,jaccard,fixed_total,154,31,40,16,20000,0.5419898409601941,0.0,0.0,4.999750012499375e-05,0.8278369249349725,0.8894994930186646,0.9402057446294111,0.7806054719549765,0.0009,0.0002120418545650937,0.0009499525023748813,0.8290682527664818,0.8985634678885147,0.953379324900115,-0.23861563099478245,0.0,0.0,4.999750012499375e-05,-0.07682274121467636,-0.009127075238793747,0.05978086101053249
you_pron_sing,pronoun_anchor,True,P:you,full,item,none,jaccard,fixed_total,154,31,40,16,20000,0.5319928755927801,0.0,0.0,4.999750012499375e-05,0.82509602423261,0.8895281662824663,0.9392845173980712,0.7762936940911996,0.0003,0.00012245917610571543,0.00034998250087495624,0.8280299184918615,0.8985136554291178,0.9522347771845504,-0.24430081849841956,0.0,0.0,4.999750012499375e-05,-0.07674027122270333,-0.008493376237673489,0.06141443816808091
you_pron_plur,pronoun_anchor,True,P:you,full,item,none,jaccard,fixed_total,154,34,40,16,20000,0.5346881530272293,0.0,0.0,4.999750012499375e-05,0.8205824580511616,0.8835838631470447,0.9347988707831382,0.7941867151051133,0.0032,0.0003993694715407526,0.003249837508124594,0.8241579411858341,0.893063377322286,0.9474661780721888,-0.259498562077884,0.0,0.0,4.999750012499375e-05,-0.07751943298977443,-0.009362675753486926,0.05939403101419575
