diagnostic,weighting,altered_dummy_it,holdout,lemma,role,features,d_pronoun,d_compound,delta
no_morph,equal_feature,False,family,they_plur,pronoun_anchor,89,0.6102598778672906,0.789328881791197,-0.17906900392390634
no_morph,equal_feature,False,family,we_pron,pronoun_anchor,89,0.542544492098719,0.7699023105577263,-0.22735781845900727
no_morph,equal_feature,False,family,us_pron,pronoun_anchor,89,0.4799934286946353,0.7556381379306109,-0.27564470923597556
no_morph,equal_feature,False,family,our,pronoun_anchor,89,0.59896902370388,0.7999885078603881,-0.20101948415650805
no_morph,equal_feature,False,family,ours,pronoun_anchor,89,0.4400024653877458,0.6626856281642065,-0.22268316277646072
no_morph,equal_feature,False,family,ourselves,pronoun_anchor,89,0.5085555301966946,0.7751383123774015,-0.26658278218070686
no_morph,equal_feature,False,family,you_pron_sing,pronoun_anchor,89,0.5177721209385203,0.7311912109077464,-0.2134190899692261
no_morph,equal_feature,False,family,you_pron_plur,pronoun_anchor,89,0.5324852850012819,0.7598643011342173,-0.22737901613293543
no_morph,equal_feature,False,family,your_sing,pronoun_anchor,89,0.627043552079936,0.7931678436537527,-0.1661242915738167
no_morph,equal_feature,False,family,yours_sing,pronoun_anchor,89,0.44942688391835184,0.6626856281642065,-0.21325874424585467
no_morph,equal_feature,False,family,your_plur,pronoun_anchor,89,0.627043552079936,0.7931678436537527,-0.1661242915738167
no_morph,equal_feature,False,family,yours_plur,pronoun_anchor,89,0.44942688391835184,0.6626856281642065,-0.21325874424585467
no_morph,equal_feature,False,family,yourself,pronoun_anchor,89,0.49098942457991673,0.7491899656776185,-0.2582005410977018
no_morph,equal_feature,False,family,yourselves,pronoun_anchor,89,0.49838588689073954,0.7705089260824779,-0.27212303919173836
no_morph_no_phon,equal_feature,False,item,anybody,compound_anchor,86,0.7376428611405782,0.4542870911754856,0.2833557699650926
no_morph_no_phon,equal_feature,False,item,anyone,compound_anchor,86,0.7376428611405782,0.4542870911754856,0.2833557699650926
no_morph_no_phon,equal_feature,False,item,anything,compound_anchor,86,0.7396764124595747,0.47085722706412364,0.2688191853954511
no_morph_no_phon,equal_feature,False,item,anywhere,compound_anchor,86,0.8109439613046883,0.5510910214223557,0.2598529398823326
no_morph_no_phon,equal_feature,False,item,everybody,compound_anchor,86,0.661191750411937,0.484139185033234,0.177052565378703
no_morph_no_phon,equal_feature,False,item,everyone,compound_anchor,86,0.661191750411937,0.484139185033234,0.177052565378703
no_morph_no_phon,equal_feature,False,item,everything,compound_anchor,86,0.69604934804303,0.4606822183981991,0.23536712964483086
no_morph_no_phon,equal_feature,False,item,everywhere,compound_anchor,86,0.7766137764129237,0.5410467476884269,0.23556702872449686
no_morph_no_phon,equal_feature,False,item,nobody,compound_anchor,86,0.7211542409288543,0.4207270040193579,0.30042723690949635
