pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
nonlocative,family,phon,idf_jaccard,fixed_total,53,53,-0.2139375340826909,-0.002335356572041,0.2096105177053426,0.2996715648250343,0.0512174280909136,False,False,True,0.0659831757935672,False,False,True,0.938,0.9783
nonlocative,family,phon,idf_jaccard,within_block,53,53,-0.2139375340826909,-0.002335356572041,0.2096105177053426,0.2996715648250343,0.0512174280909136,False,False,True,0.0659831757935672,False,False,True,0.91885,0.97495
nonlocative,family,phon,jaccard,fixed_total,53,53,-0.2760029327710163,-0.0320584988552338,0.2364375289155751,0.3501981078289963,0.0610227287174591,False,False,True,0.0691090876640437,False,False,True,0.96045,0.97435
nonlocative,family,phon,jaccard,within_block,53,53,-0.2760029327710163,-0.0320584988552338,0.2364375289155751,0.3501981078289963,0.0610227287174591,False,False,True,0.0691090876640437,False,False,True,0.96265,0.9784
nonlocative,family,sem,dice,fixed_total,53,53,-0.3303369500356615,-0.0173838575173633,0.3611184826087197,0.4371335435193468,0.2556108711886502,False,False,True,0.260249157422556,False,False,True,0.9998,0.99995
nonlocative,family,sem,dice,within_block,53,53,-0.3303369500356615,-0.0173838575173633,0.3611184826087197,0.4371335435193468,0.2556108711886502,False,False,True,0.260249157422556,False,False,True,0.9998,0.9999
nonlocative,family,sem,hamming,fixed_total,53,52,-0.1092810278840896,0.0100206138341731,0.132377933948831,0.1563088512241054,0.0804568003307151,False,False,True,0.0861065178448395,False,False,True,0.9998,0.99995
nonlocative,family,sem,hamming,within_block,53,52,-0.1092810278840896,0.0100206138341731,0.132377933948831,0.1563088512241054,0.0804568003307151,False,False,True,0.0861065178448395,False,False,True,0.9998,0.99985
nonlocative,family,sem,idf_jaccard,fixed_total,53,53,-0.202757225650995,-0.0148596731627922,0.286682773793007,0.3607860166409997,0.1180111145611141,False,False,True,0.1263237805672934,False,False,True,0.998,0.99915
nonlocative,family,sem,idf_jaccard,within_block,53,53,-0.202757225650995,-0.0148596731627922,0.286682773793007,0.3607860166409997,0.1180111145611141,False,False,True,0.1263237805672934,False,False,True,0.9976,0.9991
nonlocative,family,sem,jaccard,fixed_total,53,53,-0.2853606118639702,-0.0169497447655814,0.3449071174007741,0.4164736897169029,0.20522732884832,False,False,True,0.2064188215862332,False,False,True,1.0,0.99995
nonlocative,family,sem,jaccard,within_block,53,53,-0.2853606118639702,-0.0169497447655814,0.3449071174007741,0.4164736897169029,0.20522732884832,False,False,True,0.2064188215862332,False,False,True,0.99995,1.0
nonlocative,family,synt,dice,fixed_total,53,52,-0.4316312753790366,0.0074244187885186,0.2193104636056867,0.3502152639347524,0.066340667424478,False,False,True,0.0792463595063987,False,False,True,0.87575,0.9114
nonlocative,family,synt,dice,within_block,53,52,-0.4316312753790366,0.0074244187885186,0.2193104636056867,0.3502152639347524,0.066340667424478,False,False,True,0.0792463595063987,False,False,True,0.8343,0.88685
nonlocative,family,synt,hamming,fixed_total,53,52,-0.1191239316239316,0.0346067221067221,0.0955023973316655,0.1243224932249323,0.0420575359599749,False,False,True,0.0484677923702314,False,False,True,0.703,0.7973
nonlocative,family,synt,hamming,within_block,53,52,-0.1191239316239316,0.0346067221067221,0.0955023973316655,0.1243224932249323,0.0420575359599749,False,False,True,0.0484677923702314,False,False,True,0.663975,0.7638
nonlocative,family,synt,idf_jaccard,fixed_total,53,52,-0.2719897703989485,0.0297437628487705,0.1364821076006436,0.2150263781734966,0.0462763800154139,False,False,True,0.0657716729771099,False,False,True,0.9101,0.9734
