lemma,role,family,pool,holdout,drop,metric,d_pronoun,d_compound,delta,signed_control_margin
no_one,compound_anchor,C:no,nonlocative,family,none,hamming,0.2434273044029141,0.1024531024531024,0.1409742019498117,0.1409742019498117
no_one,compound_anchor,C:no,nonlocative,family,none,idf_jaccard,0.9416191596582444,0.6817083354226826,0.2599108242355619,0.2599108242355619
nothing,compound_anchor,C:no,full,item,none,jaccard,0.8067725810655894,0.4710623302535067,0.3357102508120826,0.3357102508120826
nothing,compound_anchor,C:no,full,item,none,dice,0.6786288272424349,0.3155527776695851,0.3630760495728497,0.3630760495728497
nothing,compound_anchor,C:no,full,item,none,hamming,0.2644916059550206,0.1134199134199134,0.1510716925351072,0.1510716925351072
nothing,compound_anchor,C:no,full,item,none,idf_jaccard,0.9306608587106936,0.6352270985287826,0.2954337601819111,0.2954337601819111
nothing,compound_anchor,C:no,full,family,none,jaccard,0.8067725810655894,0.502760436583966,0.3040121444816234,0.3040121444816234
nothing,compound_anchor,C:no,full,family,none,dice,0.6786288272424349,0.3422363182956403,0.3363925089467945,0.3363925089467945
nothing,compound_anchor,C:no,full,family,none,hamming,0.2644916059550206,0.1233766233766233,0.1411149825783972,0.1411149825783972
nothing,compound_anchor,C:no,full,family,none,idf_jaccard,0.9330623577940832,0.6900671277993121,0.2429952299947709,0.2429952299947709
nothing,compound_anchor,C:no,nonlocative,item,none,jaccard,0.8067725810655894,0.4442828613951608,0.3624897196704285,0.3624897196704285
nothing,compound_anchor,C:no,nonlocative,item,none,dice,0.6786288272424349,0.2927694814849141,0.3858593457575207,0.3858593457575207
nothing,compound_anchor,C:no,nonlocative,item,none,hamming,0.2644916059550206,0.1086186540731995,0.1558729518818211,0.1558729518818211
nothing,compound_anchor,C:no,nonlocative,item,none,idf_jaccard,0.931760799575542,0.6059868218100318,0.3257739777655103,0.3257739777655103
nothing,compound_anchor,C:no,nonlocative,family,none,jaccard,0.8067725810655894,0.4733946400613066,0.3333779410042827,0.3333779410042827
nothing,compound_anchor,C:no,nonlocative,family,none,dice,0.6786288272424349,0.316545601291364,0.3620832259510708,0.3620832259510708
nothing,compound_anchor,C:no,nonlocative,family,none,hamming,0.2644916059550206,0.1176046176046176,0.146886988350403,0.146886988350403
nothing,compound_anchor,C:no,nonlocative,family,none,idf_jaccard,0.9330091882637496,0.6533487526890819,0.2796604355746677,0.2796604355746677
nowhere,compound_anchor,C:no,full,item,none,jaccard,0.8584330825097515,0.5444666072252279,0.3139664752845236,0.3139664752845236
nowhere,compound_anchor,C:no,full,item,none,dice,0.75464244524165,0.3846938769100251,0.3699485683316249,0.3699485683316249
nowhere,compound_anchor,C:no,full,item,none,hamming,0.2608489071903706,0.1238095238095238,0.1370393833808468,0.1370393833808468
nowhere,compound_anchor,C:no,full,item,none,idf_jaccard,0.9458828126398,0.6791355947986999,0.2667472178411001,0.2667472178411001
nowhere,compound_anchor,C:no,full,family,none,jaccard,0.8584330825097515,0.5672625519608279,0.2911705305489236,0.2911705305489236
nowhere,compound_anchor,C:no,full,family,none,dice,0.75464244524165,0.4074486453238725,0.3471937999177775,0.3471937999177775
nowhere,compound_anchor,C:no,full,family,none,hamming,0.2608489071903706,0.1309523809523809,0.1298965262379897,0.1298965262379897
nowhere,compound_anchor,C:no,full,family,none,idf_jaccard,0.9463980476825036,0.7248995108123969,0.2214985368701065,0.2214985368701065
somebody,compound_anchor,C:some,full,item,none,jaccard,0.7757050657521307,0.4513469134585433,0.3243581522935874,0.3243581522935874
somebody,compound_anchor,C:some,full,item,none,dice,0.6360575197056739,0.3050082398926,0.3310492798130738,0.3310492798130738
somebody,compound_anchor,C:some,full,item,none,hamming,0.2324992081089641,0.1021645021645021,0.130334705944462,0.130334705944462
somebody,compound_anchor,C:some,full,item,none,idf_jaccard,0.936877114680628,0.6353537515042665,0.3015233631763615,0.3015233631763615
somebody,compound_anchor,C:some,full,family,none,jaccard,0.7757050657521307,0.4864472205383708,0.2892578452137599,0.2892578452137599
somebody,compound_anchor,C:some,full,family,none,dice,0.6360575197056739,0.3315982952037454,0.3044592245019284,0.3044592245019284
somebody,compound_anchor,C:some,full,family,none,hamming,0.2324992081089641,0.1125541125541125,0.1199450955548516,0.1199450955548516
somebody,compound_anchor,C:some,full,family,none,idf_jaccard,0.9390886217333128,0.6902666767468676,0.2488219449864452,0.2488219449864452
somebody,compound_anchor,C:some,nonlocative,item,none,jaccard,0.7757050657521307,0.3868332825357443,0.3888717832163864,0.3888717832163864
somebody,compound_anchor,C:some,nonlocative,item,none,dice,0.6360575197056739,0.2483572231085096,0.3877002965971643,0.3877002965971643
somebody,compound_anchor,C:some,nonlocative,item,none,hamming,0.2324992081089641,0.0873671782762691,0.145132029832695,0.145132029832695
somebody,compound_anchor,C:some,nonlocative,item,none,idf_jaccard,0.9412066352040496,0.5837744506059834,0.357432184598066,0.357432184598066
somebody,compound_anchor,C:some,nonlocative,family,none,jaccard,0.7757050657521307,0.4284069317565355,0.3472981339955951,0.3472981339955951
somebody,compound_anchor,C:some,nonlocative,family,none,dice,0.6360575197056739,0.277735751320657,0.3583217683850169,0.3583217683850169
somebody,compound_anchor,C:some,nonlocative,family,none,hamming,0.2324992081089641,0.0981240981240981,0.134375109984866,0.134375109984866
somebody,compound_anchor,C:some,nonlocative,family,none,idf_jaccard,0.941562031926288,0.6409393771354938,0.3006226547907942,0.3006226547907942
someone,compound_anchor,C:some,full,item,none,jaccard,0.7757050657521307,0.4515126840678622,0.3241923816842685,0.3241923816842685
someone,compound_anchor,C:some,full,item,none,dice,0.6360575197056739,0.3050566191862624,0.3310009005194115,0.3310009005194115
someone,compound_anchor,C:some,full,item,none,hamming,0.2324992081089641,0.1021645021645021,0.130334705944462,0.130334705944462
someone,compound_anchor,C:some,full,item,none,idf_jaccard,0.936877114680628,0.6362976061444928,0.3005795085361352,0.3005795085361352
someone,compound_anchor,C:some,full,family,none,jaccard,0.7757050657521307,0.4866544338000194,0.2890506319521113,0.2890506319521113
someone,compound_anchor,C:some,full,family,none,dice,0.6360575197056739,0.3316587693208233,0.3043987503848506,0.3043987503848506
someone,compound_anchor,C:some,full,family,none,hamming,0.2324992081089641,0.1125541125541125,0.1199450955548516,0.1199450955548516
someone,compound_anchor,C:some,full,family,none,idf_jaccard,0.9390886217333128,0.6912772023893526,0.2478114193439601,0.2478114193439601
someone,compound_anchor,C:some,nonlocative,item,none,jaccard,0.7757050657521307,0.3870593333666339,0.3886457323854968,0.3886457323854968
someone,compound_anchor,C:some,nonlocative,item,none,dice,0.6360575197056739,0.2484231948725945,0.3876343248330793,0.3876343248330793
someone,compound_anchor,C:some,nonlocative,item,none,hamming,0.2324992081089641,0.0873671782762691,0.145132029832695,0.145132029832695
someone,compound_anchor,C:some,nonlocative,item,none,idf_jaccard,0.9412066352040496,0.5848953609995723,0.3563112742044771,0.3563112742044771
someone,compound_anchor,C:some,nonlocative,family,none,jaccard,0.7757050657521307,0.4286832161054006,0.3470218496467301,0.3470218496467301
someone,compound_anchor,C:some,nonlocative,family,none,dice,0.6360575197056739,0.2778163834767608,0.358241136228913,0.358241136228913
someone,compound_anchor,C:some,nonlocative,family,none,hamming,0.2324992081089641,0.0981240981240981,0.134375109984866,0.134375109984866
someone,compound_anchor,C:some,nonlocative,family,none,idf_jaccard,0.941562031926288,0.6421759505840389,0.2993860813422491,0.2993860813422491
something,compound_anchor,C:some,full,item,none,jaccard,0.7901232554010195,0.4746465036050526,0.3154767517959668,0.3154767517959668
something,compound_anchor,C:some,full,item,none,dice,0.656072378939582,0.3185011790059852,0.3375711999335968,0.3375711999335968
something,compound_anchor,C:some,full,item,none,hamming,0.2483370288248337,0.1108225108225108,0.1375145180023229,0.1375145180023229
something,compound_anchor,C:some,full,item,none,idf_jaccard,0.93443991669546,0.6477381980480418,0.2867017186474182,0.2867017186474182
something,compound_anchor,C:some,full,family,none,jaccard,0.7901232554010195,0.5006557997572119,0.2894674556438076,0.2894674556438076
something,compound_anchor,C:some,full,family,none,dice,0.656072378939582,0.3407128728656197,0.3153595060739623,0.3153595060739623
something,compound_anchor,C:some,full,family,none,hamming,0.2483370288248337,0.1201298701298701,0.1282071586949636,0.1282071586949636
something,compound_anchor,C:some,full,family,none,idf_jaccard,0.9366846211806932,0.686824968592449,0.2498596525882442,0.2498596525882442
something,compound_anchor,C:some,nonlocative,item,none,jaccard,0.7901232554010195,0.4396960562184795,0.3504271991825399,0.3504271991825399
something,compound_anchor,C:some,nonlocative,item,none,dice,0.656072378939582,0.2882396514800409,0.3678327274595411,0.3678327274595411
something,compound_anchor,C:some,nonlocative,item,none,hamming,0.2483370288248337,0.1038961038961038,0.1444409249287298,0.1444409249287298
something,compound_anchor,C:some,nonlocative,item,none,idf_jaccard,0.936611756905418,0.6161856207348919,0.320426136170526,0.320426136170526
something,compound_anchor,C:some,nonlocative,family,none,jaccard,0.7901232554010195,0.4657217031200772,0.3244015522809422,0.3244015522809422
something,compound_anchor,C:some,nonlocative,family,none,dice,0.656072378939582,0.3095578646294516,0.3465145143101304,0.3465145143101304
something,compound_anchor,C:some,nonlocative,family,none,hamming,0.2483370288248337,0.1125541125541125,0.1357829162707212,0.1357829162707212
something,compound_anchor,C:some,nonlocative,family,none,idf_jaccard,0.9375848420741892,0.6509959365680883,0.2865889055061009,0.2865889055061009
somewhere,compound_anchor,C:some,full,item,none,jaccard,0.8650968604783404,0.5701490339725636,0.2949478265057769,0.2949478265057769
somewhere,compound_anchor,C:some,full,item,none,dice,0.7663520004404835,0.4094698131698392,0.3568821872706442,0.3568821872706442
somewhere,compound_anchor,C:some,full,item,none,hamming,0.2511878365536902,0.1246753246753246,0.1265125118783656,0.1265125118783656
