lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
your_plur,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.6826604605709115,0.828365743732489,-0.1457052831615775,0.1457052831615775
yours_plur,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.48956775587079426,0.7713500963168938,-0.2817823404460995,0.2817823404460995
yourself,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.5145045257963902,0.8131430781295891,-0.2986385523331989,0.2986385523331989
yourselves,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.5169459923364338,0.8254742498213571,-0.3085282574849233,0.3085282574849233
anybody,compound_anchor,C:any,True,full,item,morph,equal_block_total,89,41,15,0.8061223008958084,0.46765796515192154,0.33846433574388685,0.33846433574388685
anyone,compound_anchor,C:any,True,full,item,morph,equal_block_total,89,41,15,0.8061223008958084,0.46765796515192154,0.33846433574388685,0.33846433574388685
anything,compound_anchor,C:any,True,full,item,morph,equal_block_total,89,41,15,0.8136502702486016,0.4833134813340534,0.3303367889145482,0.3303367889145482
anywhere,compound_anchor,C:any,True,full,item,morph,equal_block_total,89,41,15,0.868610297015012,0.561129778914281,0.30748051810073107,0.30748051810073107
everybody,compound_anchor,C:every,True,full,item,morph,equal_block_total,89,41,15,0.7475960416733383,0.5005611530800369,0.24703488859330136,0.24703488859330136
everyone,compound_anchor,C:every,True,full,item,morph,equal_block_total,89,41,15,0.7475960416733383,0.5005611530800369,0.24703488859330136,0.24703488859330136
everything,compound_anchor,C:every,True,full,item,morph,equal_block_total,89,41,15,0.7752081969124603,0.47334128941206366,0.3018669075003967,0.3018669075003967
everywhere,compound_anchor,C:every,True,full,item,morph,equal_block_total,89,41,15,0.8338902688946301,0.5476153999255087,0.28627486896912147,0.28627486896912147
nobody,compound_anchor,C:no,True,full,item,morph,equal_block_total,89,41,15,0.7907186048066341,0.4291659187886843,0.3615526860179498,0.3615526860179498
no_one,compound_anchor,C:no,True,full,item,morph,equal_block_total,89,41,15,0.7907186048066341,0.4291659187886843,0.3615526860179498,0.3615526860179498
nothing,compound_anchor,C:no,True,full,item,morph,equal_block_total,89,41,15,0.8138806912898434,0.4544249349636416,0.3594557563262018,0.3594557563262018
nowhere,compound_anchor,C:no,True,full,item,morph,equal_block_total,89,41,15,0.865411195222031,0.5446078025423943,0.32080339267963676,0.32080339267963676
somebody,compound_anchor,C:some,True,full,item,morph,equal_block_total,89,41,15,0.7960774947035019,0.44843370999417026,0.3476437847093316,0.3476437847093316
someone,compound_anchor,C:some,True,full,item,morph,equal_block_total,89,41,15,0.7960774947035019,0.44843370999417026,0.3476437847093316,0.3476437847093316
something,compound_anchor,C:some,True,full,item,morph,equal_block_total,89,41,15,0.8185801574268188,0.4778717538392313,0.34070840358758747,0.34070840358758747
somewhere,compound_anchor,C:some,True,full,item,morph,equal_block_total,89,41,15,0.8719489172183191,0.5733472662291372,0.2986016509891819,0.2986016509891819
each_other,target,reciprocal,False,full,item,morph,equal_block_total,89,41,16,0.7248166149678301,0.7061545503014847,0.018662064666345457,
one_another,target,reciprocal,False,full,item,morph,equal_block_total,89,41,16,0.7248166149678301,0.7061545503014847,0.018662064666345457,
he,pronoun_anchor,P:he,True,full,item,morph,equal_block_total,89,40,16,0.682065520526261,0.7522165992198874,-0.07015107869362636,0.07015107869362636
him,pronoun_anchor,P:he,True,full,item,morph,equal_block_total,89,40,16,0.4735949713524786,0.8192994565888951,-0.34570448523641656,0.34570448523641656
himself,pronoun_anchor,P:he,True,full,item,morph,equal_block_total,89,40,16,0.4905660376090137,0.8276764839775379,-0.3371104463685242,0.3371104463685242
his,pronoun_anchor,P:he,True,full,item,morph,equal_block_total,89,40,16,0.46320065318289094,0.76944130558938,-0.306240652406489,0.306240652406489
she,pronoun_anchor,P:she,True,full,item,morph,equal_block_total,89,40,16,0.6809023322089918,0.7522165992198874,-0.0713142670108956,0.0713142670108956
her_acc,pronoun_anchor,P:she,True,full,item,morph,equal_block_total,89,40,16,0.4665096387937246,0.8002843671848321,-0.3337747283911075,0.3337747283911075
her_dep,pronoun_anchor,P:she,True,full,item,morph,equal_block_total,89,40,16,0.6773717214884734,0.7958544289147471,-0.11848270742627376,0.11848270742627376
hers,pronoun_anchor,P:she,True,full,item,morph,equal_block_total,89,40,16,0.4530099792426956,0.7606364145741799,-0.30762643533148426,0.30762643533148426
herself,pronoun_anchor,P:she,True,full,item,morph,equal_block_total,89,40,16,0.48987783001126617,0.8276764839775379,-0.33779865396627173,0.33779865396627173
it_plain,pronoun_anchor,P:it,True,full,item,morph,equal_block_total,89,40,16,0.5343704472319691,0.8239332499900582,-0.2895628027580891,0.2895628027580891
it_dum,pronoun_anchor,P:it,True,full,item,morph,equal_block_total,89,40,16,0.8210598363972192,0.8044548888047577,0.01660494759246156,-0.01660494759246156
its,pronoun_anchor,P:it,True,full,item,morph,equal_block_total,89,40,16,0.5247321504118742,0.8009343859532785,-0.27620223554140433,0.27620223554140433
itself,pronoun_anchor,P:it,True,full,item,morph,equal_block_total,89,40,16,0.5281669555800015,0.8066513708656395,-0.27848441528563805,0.27848441528563805
I,pronoun_anchor,P:I,True,full,item,morph,equal_block_total,89,40,16,0.6905744008618679,0.7810640197009403,-0.09048961883907236,0.09048961883907236
me,pronoun_anchor,P:I,True,full,item,morph,equal_block_total,89,40,16,0.4980008726682327,0.84409896219211,-0.34609808952387733,0.34609808952387733
mine,pronoun_anchor,P:I,True,full,item,morph,equal_block_total,89,40,16,0.4397032880401056,0.7606364145741799,-0.32093312653407424,0.32093312653407424
my,pronoun_anchor,P:I,True,full,item,morph,equal_block_total,89,40,16,0.6801105647989286,0.8166202147696604,-0.13650964997073178,0.13650964997073178
myself,pronoun_anchor,P:I,True,full,item,morph,equal_block_total,89,40,16,0.4760347583036282,0.8276764839775379,-0.3516417256739097,0.3516417256739097
their_sing,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.6890673454616998,0.8324896460736969,-0.14342230061199712,0.14342230061199712
theirs_sing,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5017861438696772,0.7982690350471358,-0.2964828911774585,0.2964828911774585
their_plur,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.7090223224573761,0.8525115816554367,-0.14348925919806066,0.14348925919806066
theirs_plur,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5172945740459817,0.8136819452149553,-0.2963873711689736,0.2963873711689736
them_sing,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5274235995554506,0.8477635343797192,-0.3203399348242686,0.3203399348242686
them_plur,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5428989474649066,0.8773269959711123,-0.33442804850620567,0.33442804850620567
themself,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5547071681834254,0.8629453648684412,-0.30823819668501584,0.30823819668501584
themselves,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.5521769392388899,0.881300230462216,-0.32912329122332606,0.32912329122332606
they_sing,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.6995903004689902,0.8121923981081587,-0.11260209763916851,0.11260209763916851
they_plur,pronoun_anchor,P:they,True,full,item,morph,equal_block_total,89,40,16,0.7095095143884387,0.8522043276487412,-0.14269481326030253,0.14269481326030253
we_pron,pronoun_anchor,P:we,True,full,item,morph,equal_block_total,89,40,16,0.6540455459063418,0.7644815311338164,-0.11043598522747466,0.11043598522747466
us_pron,pronoun_anchor,P:we,True,full,item,morph,equal_block_total,89,40,16,0.45691279287316,0.8219377798060417,-0.36502498693288166,0.36502498693288166
our,pronoun_anchor,P:we,True,full,item,morph,equal_block_total,89,40,16,0.6732591637572878,0.8037061757870886,-0.1304470120298008,0.1304470120298008
ours,pronoun_anchor,P:we,True,full,item,morph,equal_block_total,89,40,16,0.4367766714652622,0.7515746211775024,-0.3147979497122402,0.3147979497122402
ourselves,pronoun_anchor,P:we,True,full,item,morph,equal_block_total,89,40,16,0.48405560603713615,0.8371513618020345,-0.3530957557648984,0.3530957557648984
you_pron_sing,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.48471269218248747,0.8101124405808435,-0.32539974839835606,0.32539974839835606
you_pron_plur,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.4890184116798067,0.8275254161931869,-0.33850700451338017,0.33850700451338017
your_sing,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.6767917021526089,0.7975999909209603,-0.12080828876835148,0.12080828876835148
