lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
themselves,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5514914373328224,0.7897178855931829,-0.2382264482603605,0.2382264482603605
themselves,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.567990728369311,0.7897178855931829,-0.2217271572238719,0.2217271572238719
they_sing,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5569531222211748,0.8083710121210341,-0.2514178898998593,0.2514178898998593
they_sing,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5681837708327379,0.8083710121210341,-0.2401872412882962,0.2401872412882962
they_plur,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5728518715553828,0.8418691732473198,-0.269017301691937,0.269017301691937
they_plur,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5940404083356736,0.8418691732473198,-0.2478287649116461,0.2478287649116461
we_pron,pronoun_anchor,P:we,True,full,item,none,original_equal_feature,154,40,16,0.5466761450495666,0.8263087195311104,-0.2796325744815437,0.2796325744815437
we_pron,pronoun_anchor,P:we,True,full,family,none,original_equal_feature,154,36,16,0.5513497580938054,0.8263087195311104,-0.274958961437305,0.274958961437305
us_pron,pronoun_anchor,P:we,True,full,item,none,original_equal_feature,154,40,16,0.5138091125235924,0.8090524400671463,-0.2952433275435538,0.2952433275435538
us_pron,pronoun_anchor,P:we,True,full,family,none,original_equal_feature,154,36,16,0.5187523994553652,0.8090524400671463,-0.290300040611781,0.290300040611781
our,pronoun_anchor,P:we,True,full,item,none,original_equal_feature,154,40,16,0.5821787750057493,0.8382649350157385,-0.2560861600099892,0.2560861600099892
our,pronoun_anchor,P:we,True,full,family,none,original_equal_feature,154,36,16,0.5809525804089894,0.8382649350157385,-0.257312354606749,0.257312354606749
ours,pronoun_anchor,P:we,True,full,item,none,original_equal_feature,154,40,16,0.4755602459586338,0.7363382052546872,-0.2607779592960533,0.2607779592960533
