"lemma","w","mean_log_loss"
"each_other",0.627,0.351921496371726
"each_other",0.628,0.351954521887233
"each_other",0.629,0.351987831145932
"each_other",0.63,0.352021424592338
"each_other",0.631,0.352055302675831
"each_other",0.632,0.352089465850681
"each_other",0.633,0.352123914576088
"each_other",0.634,0.352158649316206
"each_other",0.635,0.352193670540187
"each_other",0.636,0.352228978722205
"each_other",0.637,0.352264574341495
"each_other",0.638,0.352300457882385
"each_other",0.639,0.352336629834335
"each_other",0.64,0.35237309069197
"each_other",0.641,0.352409840955114
"each_other",0.642,0.352446881128832
"each_other",0.643,0.352484211723463
"each_other",0.644,0.352521833254659
"each_other",0.645,0.352559746243424
"each_other",0.646,0.352597951216152
"each_other",0.647,0.352636448704666
"each_other",0.648,0.35267523924626
"each_other",0.649,0.352714323383737
"each_other",0.65,0.352753701665451
"each_other",0.651,0.35279337464535
"each_other",0.652,0.352833342883017
"each_other",0.653,0.352873606943711
"each_other",0.654,0.352914167398416
"each_other",0.655,0.352955024823881
"each_other",0.656,0.352996179802664
"each_other",0.657,0.353037632923181
"each_other",0.658,0.353079384779749
"each_other",0.659,0.353121435972635
